/home/pranav/ml-env/lib/python3.12/site-packages/torchvision/datasets/cifar.py:83: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  entry = pickle.load(f, encoding="latin1")
[0/10][0/390] Loss_D: 0.1969  Loss_G: 6.8310
[0/10][50/390] Loss_D: 0.1383  Loss_G: 6.7246
[0/10][100/390] Loss_D: 0.0635  Loss_G: 6.9950
[0/10][150/390] Loss_D: 0.0192  Loss_G: 7.4355
[0/10][200/390] Loss_D: 0.0113  Loss_G: 8.6419
[0/10][250/390] Loss_D: 0.0161  Loss_G: 7.7835
[0/10][300/390] Loss_D: 0.0056  Loss_G: 7.9390
[0/10][350/390] Loss_D: 0.0093  Loss_G: 7.3331
[1/10][0/390] Loss_D: 0.0052  Loss_G: 7.1610
[1/10][50/390] Loss_D: 0.0069  Loss_G: 6.9113
[1/10][100/390] Loss_D: 0.0234  Loss_G: 8.0997
[1/10][150/390] Loss_D: 0.0037  Loss_G: 8.0691
[1/10][200/390] Loss_D: 0.0359  Loss_G: 7.5698
[1/10][250/390] Loss_D: 0.0075  Loss_G: 8.9168
[1/10][300/390] Loss_D: 0.0144  Loss_G: 8.5776
[1/10][350/390] Loss_D: 0.0029  Loss_G: 7.8916
[2/10][0/390] Loss_D: 0.0048  Loss_G: 7.6587
[2/10][50/390] Loss_D: 0.0047  Loss_G: 6.6432
[2/10][100/390] Loss_D: 0.0152  Loss_G: 8.6617
[2/10][150/390] Loss_D: 0.0073  Loss_G: 8.7297
[2/10][200/390] Loss_D: 0.0019  Loss_G: 8.4007
[2/10][250/390] Loss_D: 0.0023  Loss_G: 8.6963
[2/10][300/390] Loss_D: 0.0024  Loss_G: 8.4765
[2/10][350/390] Loss_D: 0.0076  Loss_G: 7.4060
[3/10][0/390] Loss_D: 0.0049  Loss_G: 8.0854
[3/10][50/390] Loss_D: 0.0019  Loss_G: 7.9761
[3/10][100/390] Loss_D: 0.0008  Loss_G: 8.8600
[3/10][150/390] Loss_D: 0.0077  Loss_G: 9.4898
[3/10][200/390] Loss_D: 0.0063  Loss_G: 7.0822
[3/10][250/390] Loss_D: 0.0033  Loss_G: 8.3118
[3/10][300/390] Loss_D: 0.0011  Loss_G: 8.5399
[3/10][350/390] Loss_D: 0.0032  Loss_G: 7.8845
[4/10][0/390] Loss_D: 0.0014  Loss_G: 10.0576
[4/10][50/390] Loss_D: 0.0029  Loss_G: 7.9521
[4/10][100/390] Loss_D: 0.0072  Loss_G: 9.1750
[4/10][150/390] Loss_D: 0.0038  Loss_G: 9.4142
[4/10][200/390] Loss_D: 0.0011  Loss_G: 9.3095
[4/10][250/390] Loss_D: 0.0033  Loss_G: 8.5910
[4/10][300/390] Loss_D: 0.0021  Loss_G: 9.0238
[4/10][350/390] Loss_D: 0.0010  Loss_G: 9.7477
[5/10][0/390] Loss_D: 0.0011  Loss_G: 9.4477
[5/10][50/390] Loss_D: 0.0013  Loss_G: 8.7909
[5/10][100/390] Loss_D: 0.0028  Loss_G: 7.9191
[5/10][150/390] Loss_D: 0.0043  Loss_G: 8.9894
[5/10][200/390] Loss_D: 0.0025  Loss_G: 8.2232
[5/10][250/390] Loss_D: 0.0022  Loss_G: 8.2312
[5/10][300/390] Loss_D: 0.0019  Loss_G: 8.1259
[5/10][350/390] Loss_D: 0.0080  Loss_G: 7.0364
[6/10][0/390] Loss_D: 0.0003  Loss_G: 10.0320
[6/10][50/390] Loss_D: 0.0006  Loss_G: 9.8138
[6/10][100/390] Loss_D: 0.0106  Loss_G: 8.6052
[6/10][150/390] Loss_D: 0.0050  Loss_G: 9.5287
[6/10][200/390] Loss_D: 0.0008  Loss_G: 9.5325
[6/10][250/390] Loss_D: 0.0107  Loss_G: 7.6544
[6/10][300/390] Loss_D: 0.0034  Loss_G: 8.7171
[6/10][350/390] Loss_D: 0.0016  Loss_G: 8.6594
[7/10][0/390] Loss_D: 0.0014  Loss_G: 8.3594
[7/10][50/390] Loss_D: 0.0006  Loss_G: 9.3128
[7/10][100/390] Loss_D: 0.0010  Loss_G: 9.3073
[7/10][150/390] Loss_D: 0.0041  Loss_G: 8.2692
[7/10][200/390] Loss_D: 0.0327  Loss_G: 7.3487
[7/10][250/390] Loss_D: 0.0126  Loss_G: 7.8814
[7/10][300/390] Loss_D: 0.0018  Loss_G: 8.0941
[7/10][350/390] Loss_D: 0.0085  Loss_G: 7.6855
[8/10][0/390] Loss_D: 0.0006  Loss_G: 9.2040
[8/10][50/390] Loss_D: 0.0005  Loss_G: 9.6297
[8/10][100/390] Loss_D: 0.0004  Loss_G: 9.9001
[8/10][150/390] Loss_D: 0.0008  Loss_G: 10.0633
[8/10][200/390] Loss_D: 0.0006  Loss_G: 9.6813
[8/10][250/390] Loss_D: 0.0057  Loss_G: 7.5955
[8/10][300/390] Loss_D: 0.0062  Loss_G: 8.4447
[8/10][350/390] Loss_D: 0.0057  Loss_G: 8.6436
[9/10][0/390] Loss_D: 0.0257  Loss_G: 8.9907
[9/10][50/390] Loss_D: 0.0032  Loss_G: 8.2249
[9/10][100/390] Loss_D: 0.0038  Loss_G: 7.8815
[9/10][150/390] Loss_D: 0.0034  Loss_G: 9.5072
[9/10][200/390] Loss_D: 0.0012  Loss_G: 10.6097
[9/10][250/390] Loss_D: 0.0072  Loss_G: 9.6101
[9/10][300/390] Loss_D: 0.0328  Loss_G: 7.4285
[9/10][350/390] Loss_D: 0.0005  Loss_G: 9.6907
