/home/pranav/ml-env/lib/python3.12/site-packages/torchvision/datasets/cifar.py:83: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  entry = pickle.load(f, encoding="latin1")
[0/10][0/390] Loss_D: 0.0731  Loss_G: 10.8436
[0/10][50/390] Loss_D: 0.0080  Loss_G: 8.1775
[0/10][100/390] Loss_D: 0.0303  Loss_G: 8.0185
[0/10][150/390] Loss_D: 0.0094  Loss_G: 7.7473
[0/10][200/390] Loss_D: 0.0248  Loss_G: 8.7535
[0/10][250/390] Loss_D: 0.0029  Loss_G: 8.4486
[0/10][300/390] Loss_D: 0.0051  Loss_G: 8.6808
[0/10][350/390] Loss_D: 0.0072  Loss_G: 9.1054
[1/10][0/390] Loss_D: 0.1723  Loss_G: 5.5232
[1/10][50/390] Loss_D: 0.0175  Loss_G: 8.5803
[1/10][100/390] Loss_D: 0.0015  Loss_G: 8.5275
[1/10][150/390] Loss_D: 0.0267  Loss_G: 7.6780
[1/10][200/390] Loss_D: 0.0274  Loss_G: 8.1622
[1/10][250/390] Loss_D: 0.0163  Loss_G: 7.0111
[1/10][300/390] Loss_D: 0.0014  Loss_G: 8.7038
[1/10][350/390] Loss_D: 0.0346  Loss_G: 8.9428
[2/10][0/390] Loss_D: 0.0079  Loss_G: 7.1891
[2/10][50/390] Loss_D: 0.0042  Loss_G: 8.2761
[2/10][100/390] Loss_D: 0.0082  Loss_G: 6.5240
[2/10][150/390] Loss_D: 0.0148  Loss_G: 7.4940
[2/10][200/390] Loss_D: 0.0069  Loss_G: 7.7287
[2/10][250/390] Loss_D: 0.0096  Loss_G: 7.6310
[2/10][300/390] Loss_D: 0.0096  Loss_G: 7.2969
[2/10][350/390] Loss_D: 0.0006  Loss_G: 10.5342
[3/10][0/390] Loss_D: 0.2244  Loss_G: 6.4382
[3/10][50/390] Loss_D: 0.0032  Loss_G: 8.1249
[3/10][100/390] Loss_D: 0.0008  Loss_G: 9.5878
[3/10][150/390] Loss_D: 0.0066  Loss_G: 7.6089
[3/10][200/390] Loss_D: 0.0043  Loss_G: 8.5704
[3/10][250/390] Loss_D: 0.0151  Loss_G: 7.5717
[3/10][300/390] Loss_D: 0.0486  Loss_G: 6.7186
[3/10][350/390] Loss_D: 0.0039  Loss_G: 8.4718
[4/10][0/390] Loss_D: 0.0065  Loss_G: 8.6451
[4/10][50/390] Loss_D: 0.0059  Loss_G: 9.2324
[4/10][100/390] Loss_D: 0.0053  Loss_G: 8.5477
[4/10][150/390] Loss_D: 0.0194  Loss_G: 7.1758
[4/10][200/390] Loss_D: 0.0176  Loss_G: 9.4857
[4/10][250/390] Loss_D: 0.0060  Loss_G: 8.5979
[4/10][300/390] Loss_D: 0.0018  Loss_G: 10.7002
[4/10][350/390] Loss_D: 0.0216  Loss_G: 7.1389
[5/10][0/390] Loss_D: 0.0525  Loss_G: 7.4971
[5/10][50/390] Loss_D: 0.0055  Loss_G: 7.9296
[5/10][100/390] Loss_D: 0.0092  Loss_G: 7.3113
[5/10][150/390] Loss_D: 0.0014  Loss_G: 9.4091
[5/10][200/390] Loss_D: 0.0066  Loss_G: 10.9233
[5/10][250/390] Loss_D: 0.0981  Loss_G: 9.2475
[5/10][300/390] Loss_D: 0.0100  Loss_G: 8.7345
[5/10][350/390] Loss_D: 0.0014  Loss_G: 9.8483
[6/10][0/390] Loss_D: 0.0147  Loss_G: 7.6263
[6/10][50/390] Loss_D: 0.0076  Loss_G: 8.6714
[6/10][100/390] Loss_D: 0.0095  Loss_G: 8.4343
[6/10][150/390] Loss_D: 0.0017  Loss_G: 8.1726
[6/10][200/390] Loss_D: 0.0012  Loss_G: 8.9586
[6/10][250/390] Loss_D: 0.0022  Loss_G: 8.6823
[6/10][300/390] Loss_D: 0.0043  Loss_G: 8.2597
[6/10][350/390] Loss_D: 33.6559  Loss_G: 19.3853
[7/10][0/390] Loss_D: 0.1734  Loss_G: 6.1243
[7/10][50/390] Loss_D: 0.0387  Loss_G: 6.7990
[7/10][100/390] Loss_D: 0.1534  Loss_G: 5.5854
[7/10][150/390] Loss_D: 0.1887  Loss_G: 4.6742
[7/10][200/390] Loss_D: 0.0410  Loss_G: 5.8790
[7/10][250/390] Loss_D: 0.0128  Loss_G: 6.5467
[7/10][300/390] Loss_D: 0.0054  Loss_G: 7.8391
[7/10][350/390] Loss_D: 0.0045  Loss_G: 8.6906
[8/10][0/390] Loss_D: 0.0290  Loss_G: 7.1791
[8/10][50/390] Loss_D: 0.0104  Loss_G: 6.6225
[8/10][100/390] Loss_D: 0.0008  Loss_G: 9.5570
[8/10][150/390] Loss_D: 0.0265  Loss_G: 8.2854
[8/10][200/390] Loss_D: 0.0434  Loss_G: 5.9176
[8/10][250/390] Loss_D: 0.0239  Loss_G: 6.8661
[8/10][300/390] Loss_D: 0.0085  Loss_G: 7.4318
[8/10][350/390] Loss_D: 0.0096  Loss_G: 7.2043
[9/10][0/390] Loss_D: 0.0065  Loss_G: 7.4713
[9/10][50/390] Loss_D: 0.0043  Loss_G: 7.8498
[9/10][100/390] Loss_D: 0.0038  Loss_G: 7.7954
[9/10][150/390] Loss_D: 0.0026  Loss_G: 8.4050
[9/10][200/390] Loss_D: 0.0099  Loss_G: 6.8983
[9/10][250/390] Loss_D: 0.0049  Loss_G: 8.2310
[9/10][300/390] Loss_D: 0.0061  Loss_G: 8.6458
[9/10][350/390] Loss_D: 0.0072  Loss_G: 7.1986
