/home/pranav/ml-env/lib/python3.12/site-packages/torchvision/datasets/cifar.py:83: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  entry = pickle.load(f, encoding="latin1")
[0/5][0/390] Loss_D: 0.8233  Loss_G: 1.2889
[0/5][50/390] Loss_D: 0.8185  Loss_G: 1.4962
[0/5][100/390] Loss_D: 0.6582  Loss_G: 1.5449
[0/5][150/390] Loss_D: 0.5645  Loss_G: 1.6487
[0/5][200/390] Loss_D: 0.5599  Loss_G: 1.9723
[0/5][250/390] Loss_D: 0.5465  Loss_G: 2.1235
[0/5][300/390] Loss_D: 0.6389  Loss_G: 1.5833
[0/5][350/390] Loss_D: 0.4438  Loss_G: 1.7474
[1/5][0/390] Loss_D: 0.3737  Loss_G: 2.0891
[1/5][50/390] Loss_D: 0.5425  Loss_G: 2.2186
[1/5][100/390] Loss_D: 0.5471  Loss_G: 1.7706
[1/5][150/390] Loss_D: 0.4417  Loss_G: 1.8321
[1/5][200/390] Loss_D: 0.2986  Loss_G: 2.4555
[1/5][250/390] Loss_D: 0.5354  Loss_G: 2.2150
[1/5][300/390] Loss_D: 0.4329  Loss_G: 2.2331
[1/5][350/390] Loss_D: 0.3562  Loss_G: 2.1548
[2/5][0/390] Loss_D: 0.4529  Loss_G: 2.2013
[2/5][50/390] Loss_D: 0.4621  Loss_G: 2.2239
[2/5][100/390] Loss_D: 0.4356  Loss_G: 2.1546
[2/5][150/390] Loss_D: 0.4582  Loss_G: 2.2361
[2/5][200/390] Loss_D: 0.3414  Loss_G: 2.3177
[2/5][250/390] Loss_D: 0.2428  Loss_G: 2.8755
[2/5][300/390] Loss_D: 0.4774  Loss_G: 2.0238
[2/5][350/390] Loss_D: 0.4222  Loss_G: 2.0099
[3/5][0/390] Loss_D: 0.2767  Loss_G: 2.6386
[3/5][50/390] Loss_D: 0.4302  Loss_G: 2.7316
[3/5][100/390] Loss_D: 0.4423  Loss_G: 2.2506
[3/5][150/390] Loss_D: 0.4232  Loss_G: 1.7839
[3/5][200/390] Loss_D: 0.3144  Loss_G: 2.4838
[3/5][250/390] Loss_D: 0.1870  Loss_G: 3.2053
[3/5][300/390] Loss_D: 0.3993  Loss_G: 2.7573
[3/5][350/390] Loss_D: 0.2592  Loss_G: 2.3446
[4/5][0/390] Loss_D: 0.3755  Loss_G: 2.4997
[4/5][50/390] Loss_D: 0.3137  Loss_G: 2.5982
[4/5][100/390] Loss_D: 0.1809  Loss_G: 2.5933
[4/5][150/390] Loss_D: 0.2980  Loss_G: 2.6970
[4/5][200/390] Loss_D: 0.1735  Loss_G: 2.9097
[4/5][250/390] Loss_D: 0.1904  Loss_G: 2.2875
[4/5][300/390] Loss_D: 0.1445  Loss_G: 3.1951
[4/5][350/390] Loss_D: 0.4223  Loss_G: 3.0524
